tienda,sucursal,sku,nombre,categoria_url,en_stock,precio_bulto_cerrado,precio_bulto_cerrado_lista,precio_unitario,presentaciones,url_producto,fecha_scrape
maxiconsumo,sucursal_trelew,9787,LEVADURA LEVEX 2X10 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,849.89,,849.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/levadura-levex-2x10-gr-9787.html,2026-08-15T15:22:41.448096
maxiconsumo,sucursal_trelew,24611,LEVADURA LEVEX CON MASA MADRE 12 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,649.9,,649.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/levadura-levex-con-masa-madre-12-gr-24611.html,2026-08-15T15:22:41.448380
maxiconsumo,sucursal_trelew,28852,LOMITOS CAGNOLI X 200 GR 2 UN,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4009.9,,4009.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/lomitos-cagnoli-x-200-gr-2-un-28852.html,2026-08-15T15:22:41.448656
maxiconsumo,sucursal_trelew,14265,MANTECA PRIMER PREMIO 100 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1299.9,,1299.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/manteca-primer-premio-100-gr-14265.html,2026-08-15T15:22:41.448932
maxiconsumo,sucursal_trelew,14266,MANTECA PRIMER PREMIO 200 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2389.9,,2389.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/manteca-primer-premio-200-gr-14266.html,2026-08-15T15:22:41.449206
maxiconsumo,sucursal_trelew,17037,MANTECA LA PAULINA 500 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,9449.89,,9449.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/manteca-la-paulina-500-gr-17037.html,2026-08-15T15:22:41.449482
maxiconsumo,sucursal_trelew,21837,"MANTECA PRIMER PREMIO 2,5 KG",https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,33889.9,,33889.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/manteca-primer-premio-2-5-kg-21837.html,2026-08-15T15:22:41.449760
maxiconsumo,sucursal_trelew,5466,MARGARINA DANICA DORADA POTE 250 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2099.89,,2099.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/margarina-danica-dorada-pote-250-gr-5466.html,2026-08-15T15:22:41.450044
maxiconsumo,sucursal_trelew,27848,MARGARINA MARGADAN PAN 500 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,3560.0,,3560.0,,https://www.maxiconsumo.com/sucursal_trelew/frescos/margarina-margadan-pan-500-gr-27848.html,2026-08-15T15:22:41.450322
maxiconsumo,sucursal_trelew,5457,MARGARINA DANICA PAN 500 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4149.9,,4149.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/margarina-danica-pan-500-gr-5457.html,2026-08-15T15:22:41.450600
maxiconsumo,sucursal_trelew,26452,MORTADELA LA CASONA FAMILIAR 300 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4149.89,,4149.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/mortadela-la-casona-familiar-300-gr-26452.html,2026-08-15T15:22:41.450883
maxiconsumo,sucursal_trelew,26454,MORTADELA LA RESIDENCIA CILINDRO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,7179.9,,7179.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/mortadela-la-residencia-cilindro-1-kg-26454.html,2026-08-15T15:22:41.451163
maxiconsumo,sucursal_trelew,27027,PANCETA LA CASONA AHUMADA 1 kg,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,17349.9,,17349.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/panceta-la-casona-ahumada-1-kg-27027.html,2026-08-15T15:22:41.451439
maxiconsumo,sucursal_trelew,27522,SALCHICHON LA CASONA CON JAMON 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,7799.89,,7799.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salchichon-la-casona-con-jamon-1-kg-27522.html,2026-08-15T15:22:41.451717
